,city,floorarea,bathrooms,address,latitude,price,bedrooms,zipcode,longitude,restaurant,bar,school,hospital
0,Austin,1550.0,3.0,2912 E 14th St,30.278009,459900,3,78702,-97.707756,964.756,1754.83,1754.83,2951.3
1,Austin,2243.0,3.0,2105 Rosewood Ave,30.269727,695000,4,78702,-97.71717,1064.96,1318.36,975.95,2083.94
2,Austin,1618.0,2.0,6100 Woodhue Dr,30.207734,319000,3,78745,-97.794363,1634.09,3595.93,2336.29,860.632
3,Austin,1393.0,3.0,4515 Speedway # A,30.309549,549000,3,78751,-97.727432,459.187,826.721,1149.52,1799.83
4,Austin,1690.0,2.0,8909 Palace Pkwy,30.176199,239900,3,78748,-97.804758,2005.58,2647.27,1384.94,5114.55
5,Austin,1584.0,2.0,5004 Suburban Dr,30.20847,299990,3,78745,-97.768433,643.279,2262.08,2658.1,2516.64
6,Austin,2322.0,3.0,3501 Autumn Bay Dr,30.200596,229900,4,78744,-97.694272,4294.35,8440.77,6221.26,9069.03
7,Austin,2684.0,3.0,1912 Petrified Forest Dr,30.15591,274900,3,78747,-97.78701,1866.35,6154.76,4080.38,7990.06
8,Austin,1909.0,3.0,11432 Running Brush Ln,30.493736,310000,3,78717,-97.797728,2287.63,6436.34,2560.4,10000.0
9,Cedar Park,2978.0,2.5,2402 Tivoli Dr,30.465986,399000,4,78613,-97.850144,3395.31,5535.49,2025.19,10000.0
10,Austin,4334.0,4.0,10500 Avery Club Dr UNIT 2,30.503668,775000,5,78717,-97.771526,10000.0,10000.0,10000.0,10000.0
11,Round Rock,1316.0,2.0,1625 Willow Vis,30.508329,225000,3,78664,-97.658218,1776.1,9482.46,2747.73,9512.55
12,Round Rock,2756.0,3.0,1805 Creek Ridge Blvd,30.511881,279000,4,78664,-97.653968,2036.37,9775.53,2566.6,9772.82
13,Austin,2067.0,2.0,7414 Fireoak Dr,30.421507,388500,4,78759,-97.772628,1567.9,4817.61,766.15,7518.22
14,Cedar Park,2097.0,2.0,1709 Todd Ln,30.475449,316500,3,78613,-97.838618,2815.93,5222.66,353.237,10000.0
15,Austin,1594.0,2.0,6806 Millrace Dr,30.306135,278500,3,78724,-97.656492,3066.72,6321.67,2244.38,5073.49
16,Austin,900.0,2.0,6214 Marr Cv,30.2907,58995,2,78724,-97.63756,7520.27,10000.0,2985.33,9946.79
17,Austin,1546.0,2.0,5500 Delta Post Dr,30.252742,159999,3,78724,-97.579918,10000.0,10000.0,10000.0,10000.0
18,Austin,1326.0,2.0,6013 Wideleaf Dr,30.257958,160000,3,78724,-97.574891,10000.0,10000.0,10000.0,10000.0
19,Austin,1178.0,2.0,7319 Muffin Dr,30.305582,175000,3,78724,-97.641282,5307.82,8098.25,4020.96,7314.59
20,Austin,1421.0,2.0,7208 Hillcroft Dr,30.304269,184500,3,78724,-97.640925,5141.42,7931.86,3854.57,7148.19
21,Austin,2556.0,3.0,6133 Seville Dr,30.292584,425900,3,78724,-97.642369,5472.12,8262.56,3559.7,7478.89
22,Austin,1465.0,3.0,1133 Brookswood Ave,30.265889,369000,3,78721,-97.688531,990.471,4212.73,2321.42,5279.5
23,Austin,2837.0,3.0,5829 Pinon Vista Dr,30.28949,445000,4,78724,-97.643386,5479.8,8344.3,3151.69,7880.48
24,Austin,2848.0,3.0,7504 Lazy Creek Dr,30.315757,250000,3,78724,-97.656963,1776.1,6110.06,2165.72,4079.73
25,Austin,2201.0,3.0,7101 Boyle Dr,30.305488,428000,3,78724,-97.64524,4803.61,7594.05,3516.76,6810.38
26,Austin,2199.0,3.0,7016 Boyle Dr,30.305589,428000,3,78724,-97.645828,4803.61,7594.05,3516.76,6810.38
27,Austin,1328.0,2.0,6901 Aries Ln,30.29758,160000,3,78724,-97.644294,4753.49,7543.92,3466.63,6760.26
28,Austin,1306.0,2.0,5913 Alsace Trl,30.290573,160000,3,78724,-97.64574,5383.98,8248.48,3055.87,7930.9
29,Austin,1319.0,2.0,1804 J J Seabrook Dr,30.283828,349900,3,78721,-97.690672,1028.47,2826.15,2826.15,4027.2
