schooldistance,address,schoolrating
0.9,2905 Breeze Ter,7
0.8,2008 E 22nd St,7
0.8,2505 Givens Ave,7
1.6,4020 Airport Blvd # 1,7
1.8,4302 Parkwood Rd,7
0.5,2139 Surrender Ave,7
0.6,2003 Surrender Ave,7
0.1,13502 Broadmeade Ave,7
1.6,7800 Southwest Pkwy UNIT 613,9
9.6,9122 Granada Hills Dr,10
2.8,6000 Shepherd Mountain Cv,10
2.5,407 Lago Verde Rd,9
2.0,Hacienda Rdg,10
4.0,Sojourner St,4
3.7,Imperial Dr,9
3.4,14835 Single Trce,7
2.4,16021 Serene Fleming Trce,7
3.0,3409 Kissman Dr,7
2.4,3618 Kennedy Grace Ln,7
2.4,3618 Kennedy Grace Ln,7
4.1,1401 Phillip Ct,9
1.4,7701 Rialto Blvd APT 21,9
10.9,7845 Aria Loop,10
2.8,3203 Clumpgrass Cv,9
0.5,753 Catalina Ln,9
14.1,12131 Fitzhugh Rd,10
12.1,378 Mary Elise Way,10
1.1,7625 Evening Sky Cir # G-14,9
3.6,8301 Arboles Cir,9
3.8,16905 Westview Trl,9
5.4,260 Mallet Ct,10
10.8,9109 Honeycomb Dr,10
6.1,12 Long Creek Rd,10
4.3,1013 Hidden Hills Dr,10
4.3,Paisano Trl,10
1.8,8025 Cobblestone,9
2.8,8408 Calera Dr,9
3.1,8320 Chalk Knoll Dr,9
2.0,7523 Escala Dr,9
13.7,11600 Antler Bend Rd,10
2.9,8905 Mission Creek Cv,9
0.4,201 Canterbury Dr,9
1.9,174 Big Meadow Rd,9
12.1,378 Mary Elise Way,10
12.1,378 Mary Elise Way,10
1.9,Grassy Field Rd,9
9.6,8525 Lookout Cliff Pass,10
0.8,136 Welshpool Ct,9
0.2,681 Harris Dr,9
9.9,8509 High Summit Ln,10
0.4,110 Eaton Ln,9
3.2,287 Emma Loop,9
3.2,9010 Wintercreeper Cv,9
6.2,19 Long Creek Rd,10
3.0,3102 Fleece Flower Cv,9
1.6,10630 Cedar Paw,9
0.3,138 Wellington Dr,9
5.9,13230 Rooster Springs Rd,10
0.4,120 Victoria Ct,9
1.2,10820 Signal Hill Rd,9
1.4,242 Clear Pond Cv,9
0.8,645 Brentwood Dr,9
0.5,753 Catalina Ln,9
12.1,378 Mary Elise Way,10
0.6,381 Lexington Dr,9
2.8,8537 Calera Dr,9
3.2,8420 Chalk Knoll Dr,9
0.7,188 Nantucket Cir,9
2.8,810 Kemp Hills Dr,9
9.3,9001 Gallant Fox Rd,10
0.4,131 Saint Richie Ln,9
1.4,281 Stoney Point Rd,9
3.0,Bear Creek Pass,9
3.3,269 Margaret Cir,9
3.4,238 Margaret Cir,9
2.2,3601 Lost Creek Blvd,9
0.8,311 Littleton Dr,9
5.9,209 Heritage Dr,10
1.9,131 Blazing Star Dr,9
1.5,1561 Cool Spring Way,9
0.6,977 Catalina Ln,9
0.6,138 Mirafield Ln,9
1.6,135 Willow Walk Cv # 168,9
5.8,15 Heritage Oaks Dr,10
0.6,13201 W Highway 290,9
0.8,631 Brentwood Dr,9
4.7,319 Carol Ann Dr,10
0.8,645 Brentwood Dr,9
1.1,10820 Signal Hill Rd,9
3.9,17008 Whitetail Run,9
0.3,131 Kinloch Ct,9
1.0,459 Drury Ln,9
10.6,8007 Lewis Mountain Dr,10
0.6,404 Mirafield Ln,9
0.5,753 Catalina Ln,9
0.7,255 Seneca Drive,9
5.6,34 Longwood Rd,10
6.0,1 Carriage House Ln,10
0.5,111 Pagosa Ct,9
0.3,250 Bolton Dr,9
0.6,Naples Ln,9
0.5,110 Serenity Ct,9
0.7,250 Longmont Ln,9
0.4,212 Bradshaw Dr,9
1.7,152 Mallard Cv,9
4.4,503 Gato Del Sol,10
5.2,1041 Polo Club Dr,10
0.4,151 Palisade Dr,9
1.8,136 Mallard Cv,9
0.6,163 Gallatin Court,9
1.4,Pauls Valley Rd,9
1.9,8200 Southwest Pkwy UNIT 704,9
1.8,272 Blazing Star Dr,9
1.8,178 Honey Bee Ln,9
3.3,2300 Barton Creek Blvd APT 2,9
2.9,8901 Calera Dr,9
3.2,2305 Barton Creek Blvd UNIT 7,9
2.9,8816 Calera Dr,9
2.9,3101 Fleece Flower Cv,9
1.9,8200 Southwest Pkwy UNIT 704,9
1.6,7800 Southwest Pkwy UNIT 2011,9
2.8,8817 Calera Dr,9
