city,floorarea,bathrooms,address,latitude,price,bedrooms,zipcode,longitude
Austin,1550,3,2912 E 14th St,30.278009,459900,3,78702,-97.707756
Austin,2243,3,2105 Rosewood Ave,30.269727,695000,4,78702,-97.71717
Austin,1618,2,6100 Woodhue Dr,30.207734,319000,3,78745,-97.794363
Austin,1393,3,4515 Speedway # A,30.309549,549000,3,78751,-97.727432
Austin,1690,2,8909 Palace Pkwy,30.176199,239900,3,78748,-97.804758
Austin,1584,2,5004 Suburban Dr,30.20847,299990,3,78745,-97.768433
Austin,2322,3,3501 Autumn Bay Dr,30.200596,229900,4,78744,-97.694272
Austin,2684,3,1912 Petrified Forest Dr,30.15591,274900,3,78747,-97.78701
Austin,1909,3,11432 Running Brush Ln,30.493736,310000,3,78717,-97.797728
Cedar Park,2978,2.5,2402 Tivoli Dr,30.465986,399000,4,78613,-97.850144
Austin,4334,4,10500 Avery Club Dr UNIT 2,30.503668,775000,5,78717,-97.771526
Round Rock,1316,2,1625 Willow Vis,30.508329,225000,3,78664,-97.658218
Round Rock,2756,3,1805 Creek Ridge Blvd,30.511881,279000,4,78664,-97.653968
Austin,2067,2,7414 Fireoak Dr,30.421507,388500,4,78759,-97.772628
Cedar Park,2097,2,1709 Todd Ln,30.475449,316500,3,78613,-97.838618
Austin,1594,2,6806 Millrace Dr,30.306135,278500,3,78724,-97.656492
Austin,900,2,6214 Marr Cv,30.2907,58995,2,78724,-97.63756
Austin,1546,2,5500 Delta Post Dr,30.252742,159999,3,78724,-97.579918
Austin,1326,2,6013 Wideleaf Dr,30.257958,160000,3,78724,-97.574891
Austin,1178,2,7319 Muffin Dr,30.305582,175000,3,78724,-97.641282
Austin,1421,2,7208 Hillcroft Dr,30.304269,184500,3,78724,-97.640925
Austin,2556,3,6133 Seville Dr,30.292584,425900,3,78724,-97.642369
Austin,1465,3,1133 Brookswood Ave,30.265889,369000,3,78721,-97.688531
Austin,2837,3,5829 Pinon Vista Dr,30.28949,445000,4,78724,-97.643386
Austin,2848,3,7504 Lazy Creek Dr,30.315757,250000,3,78724,-97.656963
Austin,2201,3,7101 Boyle Dr,30.305488,428000,3,78724,-97.64524
Austin,2199,3,7016 Boyle Dr,30.305589,428000,3,78724,-97.645828
Austin,1328,2,6901 Aries Ln,30.29758,160000,3,78724,-97.644294
Austin,1306,2,5913 Alsace Trl,30.290573,160000,3,78724,-97.64574
Austin,1319,2,1804 J J Seabrook Dr,30.283828,349900,3,78721,-97.690672
Austin,1374,2,1151 Nickols Ave,30.27628,409000,3,78721,-97.684692
Austin,810,1,1805 Rhodes Rd,30.283011,189900,3,78721,-97.680311
Austin,1072,2,1237 Eleanor St,30.276354,399900,2,78721,-97.679835
Austin,1256,1,5116 Heflin Ln,30.283001,300000,3,78721,-97.676755
Austin,1512,2,7601 Daffan Ln TRLR 382,30.317218,73995,3,78724,-97.624413
Austin,991,2,8205 View Ridge Dr,30.298584,159000,3,78724,-97.627346
Austin,1834,3,6216 Seville Dr,30.29343,280000,3,78724,-97.642431
Austin,2491,3,9413 China Rose Dr,30.278548,265000,5,78724,-97.624211
Austin,1220,2,8404 Mayview Dr,30.300052,185000,3,78724,-97.624394
Austin,2180,3,6821 Willamette Dr,30.316385,459900,4,78723,-97.672978
Austin,1440,1,2907 Breeze Ter,30.285293,580000,3,78722,-97.718719
Austin,672,1,4704 Louis Ave,30.276306,189000,3,78721,-97.687258
Austin,1410,1,5609 Samuel Huston Ave,30.279262,450000,3,78721,-97.674274
Austin,1740,3,5109 Lott Ave # A,30.275217,375000,3,78721,-97.682823
Austin,1170,2,3603 E 12th St,30.27762,175000,3,78721,-97.693825
Austin,2379,3,1300 Luna St,30.279434,585000,4,78721,-97.691296
Austin,1780,2,4011 Sojourner St,30.240539,185000,4,78725,-97.588364
